GreyhoundName,,GreyhoundName,Earmark,Reg Date,Active,Colour,Sex,Whelp Date,Retirement Type,Status Meaning,NoticeSentBy
A FORGOTTEN MAN,704884,A FORGOTTEN MAN,UPUVT,,False,bkw,D,11/03/2019,EUT,Died/Put To Sleep,2022-09-17 07:33:00
AARONS SENSATION,62403,AARONS SENSATION,TQPMI,,False,bkw,B,04/10/2017,RET,Still at premises,2022-09-10 07:34:00
ABBEY JET,9108,ABBEY JET,TYEKV,07/02/2019,False,dkbd,B,26/09/2018,EUT,Died/Put To Sleep,2021-12-16 06:02:00
ABBEY LIMITED,232357,ABBEY LIMITED,UNLHX,,False,bk,D,19/07/2019,DIE,Died/Put To Sleep,2022-08-04 07:35:00
ABBEYSIDE BECCA,368266,ABBEYSIDE BECCA,TBQXB,,False,bk,B,05/07/2018,DIE,Died/Put To Sleep,2022-06-26 07:33:00
ABBEYSIDE BELLE,185217,ABBEYSIDE BELLE,VPBUH,,False,dkbd,B,27/10/2020,DIE,Died/Put To Sleep,2022-06-23 07:32:00
ABBEYSIDE BOURE,412437,ABBEYSIDE BOURE,XPBXZ,,False,wbe,B,16/06/2021,DIE,Died/Put To Sleep,2022-07-20 07:32:00
ABBEYSIDE DANNY,368354,ABBEYSIDE DANNY,VPUXJ,,False,bk,D,07/01/2020,EUT,Died/Put To Sleep,2022-08-03 07:33:00
ABBEYSIDE DIVA,826050,ABBEYSIDE DIVA,XPBAV,,False,bk,B,24/08/2021,DIE,Died/Put To Sleep,2022-08-26 07:33:00
ABBEYSIDE SPICE,884546,ABBEYSIDE SPICE,XPEZV,,False,bk,B,20/10/2021,DIE,Died/Put To Sleep,2022-07-31 07:33:00
ABBEYVILLE BEN,100321,ABBEYVILLE BEN,TBKUR,,False,bk,D,01/11/2018,DIE,Died/Put To Sleep,2022-01-15 06:02:00
ABBEYVILLE SEAN,59815,ABBEYVILLE SEAN,SBANY,,False,dkbd,D,08/10/2017,DIE,Died/Put To Sleep,2022-09-05 07:31:00
ABBYLEA PETE,728390,ABBYLEA PETE,VVHPU,,False,bk,D,01/03/2020,EUT,Died/Put To Sleep,2022-09-16 07:33:00
ABIGAILS FRANKIE,948871,ABIGAILS FRANKIE,XRUJS,01/12/2021,False,be,D,01/12/2021,EUT,Died/Put To Sleep,2022-08-20 07:34:00
ABIGAILS LUCKY,684426,ABIGAILS LUCKY,XRMEQ,,False,bk,D,01/03/2021,DIE,Died/Put To Sleep,2022-09-02 07:33:00
ABRAKEBABRA JOE,554307,ABRAKEBABRA JOE,USEIY,,False,bk,D,01/05/2019,RET,Still at premises,2022-09-01 07:33:00
ACLAMON LOLA,537723,ACLAMON LOLA,UDAJS,,False,bk,B,22/02/2019,EUT,Died/Put To Sleep,2022-09-14 07:33:00
ACROSSTHESHANNON,159976,ACROSSTHESHANNON,UDZDK,,False,be,B,25/08/2019,DIE,Died/Put To Sleep,2022-04-20 12:45:00
ADAGEO CHARM,273457,ADAGEO CHARM,SLJND,,False,f,B,08/09/2017,RET,Still at premises,2022-05-18 07:34:00
